# File Updated: 2025-07-29
# Data version 3.0
# Site: Pasadena, United States
Site_Code,Latitude,Longitude,Elevation_meters,Filter_ID,Start_Year_local,Start_Month_local,Start_Day_local,Start_hour_local,End_Year_local,End_Month_local,End_Day_local,End_hour_local,Hours_sampled,Parameter_Code,Parameter_Name,Value,Units,Analytical_MDL,MDL,UNC,Method_Code,Collection_Description,Analysis_Description,Conditions,Flag
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28101,Filter PM2.5 mass,5.35,Micrograms per cubic meter (ug/m3),,,,116,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Gravimetric; mass concentration presented at RH = 35%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28404,Nitrite Ion PM2.5,0.02,Micrograms per cubic meter (ug/m3),,0.30492762666666673,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28402,Nitrate Ion PM2.5,0.15,Micrograms per cubic meter (ug/m3),,1.201635928,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; These nitrate concentrations collected on Teflon filters are likely biased low.,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28401,Sulfate Ion PM2.5,0.49,Micrograms per cubic meter (ug/m3),,0.22562734933333334,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28801,Sodium Ion PM2.5,0.11,Micrograms per cubic meter (ug/m3),,0.48283590000000004,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28802,Ammonium Ion PM2.5,0.09,Micrograms per cubic meter (ug/m3),,0.3186,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28803,Potassium Ion PM2.5,0.03,Micrograms per cubic meter (ug/m3),,0.30047124000000003,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28804,Magnesium Ion PM2.5,0.01,Nanograms per cubic meter (ng/m3),,0.06117301333333333,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28805,Calcium Ion PM2.5,0.05,Micrograms per cubic meter (ug/m3),,1.8345081827999996,,316,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,Ion Chromatography; mass concentration presented at RH = 0%; ,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28801,Sodium PM2.5,107.23,Nanograms per cubic meter (ng/m3),0.1638,0.1638,0.0996,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28902,Aluminum PM2.5,68.05,Nanograms per cubic meter (ng/m3),0.019,0.019,0.0115,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28923,Silicon PM2.5,220.03,Nanograms per cubic meter (ng/m3),0.0153,0.0536,0.0326,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28924,Sulfur PM2.5,193.51,Nanograms per cubic meter (ng/m3),0.0011,0.0131,0.008,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28925,Chlorine PM2.5,9.81,Nanograms per cubic meter (ng/m3),0.0271,0.075,0.0456,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28803,Potassium PM2.5,39.46,Nanograms per cubic meter (ng/m3),0.0424,0.0424,0.0258,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28805,Calcium PM2.5,81.71,Nanograms per cubic meter (ng/m3),0.0155,0.0321,0.0195,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28904,Titanium PM2.5,6.58,Nanograms per cubic meter (ng/m3),0.0028,0.0032,0.002,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28905,Vanadium PM2.5,0.24,Nanograms per cubic meter (ng/m3),0.0004,0.0004,0.0002,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28908,Iron PM2.5,84.16,Nanograms per cubic meter (ng/m3),0.0109,0.016,0.0098,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28912,Zinc PM2.5,-1.73,Nanograms per cubic meter (ng/m3),0.0076,0.01,0.0061,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28919,Cerium PM2.5,0.77,Nanograms per cubic meter (ng/m3),0.0011,0.0011,0.0007,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
USPA,34.199433,-118.17317,366.0,USPA-0300,2023,10,15,9.0,2023,10,16,9.0,24.0,28920,Lead PM2.5,0.91,Nanograms per cubic meter (ng/m3),0.0026,0.0029,0.0018,516,AirPhoton SS5i Sampler with BGI cyclone inlet and 25mm stretched Teflon filter,ED-XRF; mass concentration presented at RH = 0%,Ambient local,
